,SC,GPDM,SSDATE,GPLB
411,0,000929,19990623,深市主板A股
412,0,000930,19990712,深市主板A股
413,0,000931,19990712,深市主板A股
414,0,000932,19990803,深市主板A股
415,0,000933,19990831,深市主板A股
416,0,000935,19990824,深市主板A股
417,0,000936,19990810,深市主板A股
418,0,000937,19990909,深市主板A股
419,0,000938,19991104,深市主板A股
420,0,000939,19990923,深市主板A股
421,0,000948,19991014,深市主板A股
422,0,000949,19991021,深市主板A股
423,0,000950,19990916,深市主板A股
424,0,000951,19991125,深市主板A股
425,0,000952,19991112,深市主板A股
426,0,000953,19991202,深市主板A股
427,0,000955,19991209,深市主板A股
428,0,000957,20000113,深市主板A股
429,0,000958,19991223,深市主板A股
430,0,000959,19991216,深市主板A股
431,0,000960,20000221,深市主板A股
432,0,000961,20000301,深市主板A股
433,0,000962,20000120,深市主板A股
434,0,000963,20000127,深市主板A股
435,0,000965,20000406,深市主板A股
436,0,000966,20000316,深市主板A股
437,0,000967,20000330,深市主板A股
438,0,000968,20000622,深市主板A股
439,0,000969,20000529,深市主板A股
440,0,000970,20000420,深市主板A股
441,0,000971,20000427,深市主板A股
442,0,000972,20000926,深市主板A股
443,0,000973,20000525,深市主板A股
444,0,000975,20000608,深市主板A股
445,0,000976,20000601,深市主板A股
446,0,000977,20000608,深市主板A股
447,0,000978,20000518,深市主板A股
448,0,000979,20000616,深市主板A股
449,0,000980,20000616,深市主板A股
450,0,000981,20000622,深市主板A股
451,0,000982,20000706,深市主板A股
452,0,000983,20000726,深市主板A股
453,0,000985,20000726,深市主板A股
454,0,000987,20000718,深市主板A股
455,0,000988,20000608,深市主板A股
456,0,000989,20000628,深市主板A股
457,0,000990,20000706,深市主板A股
458,0,000993,20000731,深市主板A股
459,0,000995,20000807,深市主板A股
460,0,000996,20000718,深市主板A股
461,0,000997,20000807,深市主板A股
462,0,000998,20001211,深市主板A股
463,0,000999,20000309,深市主板A股
464,0,001696,19970306,深市主板A股
465,0,001896,19980122,深市主板A股
466,0,002001,20040625,深市中小板A股
467,0,002002,20040625,深市中小板A股
468,0,002003,20040625,深市中小板A股
469,0,002004,20040625,深市中小板A股
470,0,002005,20040625,深市中小板A股
471,0,002006,20040625,深市中小板A股
472,0,002007,20040625,深市中小板A股
473,0,002008,20040625,深市中小板A股
474,0,002009,20040629,深市中小板A股
475,0,002010,20040629,深市中小板A股
476,0,002011,20040705,深市中小板A股
477,0,002012,20040705,深市中小板A股
478,0,002013,20040705,深市中小板A股
479,0,002014,20040708,深市中小板A股
480,0,002015,20040708,深市中小板A股
481,0,002016,20040708,深市中小板A股
482,0,002017,20040713,深市中小板A股
483,0,002018,20040713,深市中小板A股
484,0,002019,20040713,深市中小板A股
485,0,002020,20040715,深市中小板A股
486,0,002021,20040715,深市中小板A股
487,0,002022,20040721,深市中小板A股
488,0,002023,20040721,深市中小板A股
489,0,002024,20040721,深市中小板A股
490,0,002025,20040726,深市中小板A股
491,0,002026,20040727,深市中小板A股
492,0,002027,20040804,深市中小板A股
493,0,002028,20040805,深市中小板A股
494,0,002029,20040806,深市中小板A股
495,0,002030,20040809,深市中小板A股
496,0,002031,20040816,深市中小板A股
497,0,002032,20040817,深市中小板A股
498,0,002033,20040825,深市中小板A股
499,0,002034,20040826,深市中小板A股
500,0,002035,20040901,深市中小板A股
501,0,002036,20040903,深市中小板A股
502,0,002037,20040908,深市中小板A股
503,0,002038,20040909,深市中小板A股
504,0,002039,20050303,深市中小板A股
505,0,002040,20050325,深市中小板A股
506,0,002041,20050418,深市中小板A股
507,0,002042,20050427,深市中小板A股
508,0,002043,20050510,深市中小板A股
509,0,002044,20050518,深市中小板A股
510,0,002045,20050523,深市中小板A股
511,0,002046,20050526,深市中小板A股
512,0,002047,20050531,深市中小板A股
513,0,002048,20050603,深市中小板A股
514,0,002049,20050606,深市中小板A股
515,0,002050,20050607,深市中小板A股
516,0,002051,20060619,深市中小板A股
517,0,002052,20060627,深市中小板A股
518,0,002053,20060627,深市中小板A股
519,0,002054,20060725,深市中小板A股
520,0,002055,20060725,深市中小板A股
521,0,002056,20060802,深市中小板A股
522,0,002057,20060802,深市中小板A股
523,0,002058,20060802,深市中小板A股
524,0,002059,20060810,深市中小板A股
525,0,002060,20060810,深市中小板A股
526,0,002061,20060816,深市中小板A股
527,0,002062,20060816,深市中小板A股
528,0,002063,20060823,深市中小板A股
529,0,002064,20060823,深市中小板A股
530,0,002065,20060823,深市中小板A股
531,0,002066,20060823,深市中小板A股
532,0,002067,20060915,深市中小板A股
533,0,002068,20060915,深市中小板A股
534,0,002069,20060928,深市中小板A股
535,0,002070,20061012,深市中小板A股
536,0,002071,20061012,深市中小板A股
537,0,002072,20061018,深市中小板A股
538,0,002073,20061018,深市中小板A股
539,0,002074,20061018,深市中小板A股
540,0,002075,20061025,深市中小板A股
541,0,002076,20061025,深市中小板A股
542,0,002077,20061116,深市中小板A股
543,0,002078,20061116,深市中小板A股
544,0,002079,20061116,深市中小板A股
545,0,002080,20061120,深市中小板A股
546,0,002081,20061120,深市中小板A股
547,0,002082,20061120,深市中小板A股
548,0,002083,20061124,深市中小板A股
549,0,002084,20061124,深市中小板A股
550,0,002085,20061128,深市中小板A股
551,0,002086,20061128,深市中小板A股
552,0,002087,20061130,深市中小板A股
553,0,002088,20061130,深市中小板A股
554,0,002089,20061130,深市中小板A股
555,0,002090,20061208,深市中小板A股
556,0,002091,20061208,深市中小板A股
557,0,002092,20061208,深市中小板A股
558,0,002093,20061215,深市中小板A股
559,0,002094,20061215,深市中小板A股
560,0,002095,20061215,深市中小板A股
561,0,002096,20061222,深市中小板A股
562,0,002097,20061222,深市中小板A股
563,0,002098,20061222,深市中小板A股
564,0,002099,20061226,深市中小板A股
565,0,002100,20061226,深市中小板A股
566,0,002101,20061229,深市中小板A股
567,0,002102,20061229,深市中小板A股
568,0,002103,20070110,深市中小板A股
569,0,002104,20070110,深市中小板A股
570,0,002105,20070112,深市中小板A股
571,0,002106,20070112,深市中小板A股
572,0,002107,20070124,深市中小板A股
573,0,002108,20070124,深市中小板A股
574,0,002109,20070126,深市中小板A股
575,0,002110,20070126,深市中小板A股
576,0,002111,20070126,深市中小板A股
577,0,002112,20070208,深市中小板A股
578,0,002113,20070208,深市中小板A股
579,0,002114,20070215,深市中小板A股
580,0,002115,20070215,深市中小板A股
581,0,002116,20070215,深市中小板A股
582,0,002117,20070302,深市中小板A股
583,0,002118,20070302,深市中小板A股
584,0,002119,20070302,深市中小板A股
585,0,002120,20070306,深市中小板A股
586,0,002121,20070306,深市中小板A股
587,0,002122,20070328,深市中小板A股
588,0,002123,20070328,深市中小板A股
589,0,002124,20070403,深市中小板A股
590,0,002125,20070403,深市中小板A股
591,0,002126,20070418,深市中小板A股
592,0,002127,20070418,深市中小板A股
593,0,002128,20070418,深市中小板A股
594,0,002129,20070420,深市中小板A股
595,0,002130,20070420,深市中小板A股
596,0,002131,20070427,深市中小板A股
597,0,002132,20070427,深市中小板A股
598,0,002133,20070427,深市中小板A股
599,0,002134,20070516,深市中小板A股
600,0,002135,20070530,深市中小板A股
601,0,002136,20070530,深市中小板A股
602,0,002137,20070613,深市中小板A股
603,0,002138,20070613,深市中小板A股
604,0,002139,20070629,深市中小板A股
605,0,002140,20070712,深市中小板A股
606,0,002141,20070720,深市中小板A股
607,0,002142,20070719,深市中小板A股
608,0,002143,20070720,深市中小板A股
609,0,002144,20070803,深市中小板A股
610,0,002145,20070803,深市中小板A股
611,0,002146,20070808,深市中小板A股
612,0,002147,20070808,深市中小板A股
613,0,002148,20070810,深市中小板A股
614,0,002149,20070810,深市中小板A股
615,0,002150,20070810,深市中小板A股
616,0,002151,20070813,深市中小板A股
617,0,002152,20070813,深市中小板A股
618,0,002153,20070813,深市中小板A股
619,0,002154,20070816,深市中小板A股
620,0,002155,20070816,深市中小板A股
621,0,002156,20070816,深市中小板A股
622,0,002157,20070817,深市中小板A股
623,0,002158,20070817,深市中小板A股
624,0,002159,20070817,深市中小板A股
625,0,002160,20070821,深市中小板A股
626,0,002161,20070821,深市中小板A股
627,0,002162,20070823,深市中小板A股
628,0,002163,20070823,深市中小板A股
629,0,002164,20070823,深市中小板A股
630,0,002165,20070913,深市中小板A股
631,0,002166,20070913,深市中小板A股
632,0,002167,20070913,深市中小板A股
633,0,002168,20070919,深市中小板A股
634,0,002169,20070919,深市中小板A股
635,0,002170,20070919,深市中小板A股
636,0,002171,20070921,深市中小板A股
637,0,002172,20070921,深市中小板A股
638,0,002173,20070925,深市中小板A股
639,0,002174,20070925,深市中小板A股
640,0,002175,20071012,深市中小板A股
641,0,002176,20071012,深市中小板A股
642,0,002177,20071101,深市中小板A股
643,0,002178,20071101,深市中小板A股
644,0,002179,20071101,深市中小板A股
645,0,002180,20071113,深市中小板A股
646,0,002181,20071116,深市中小板A股
647,0,002182,20071113,深市中小板A股
648,0,002183,20071113,深市中小板A股
649,0,002184,20071116,深市中小板A股
650,0,002185,20071120,深市中小板A股
651,0,002186,20071120,深市中小板A股
652,0,002187,20071122,深市中小板A股
653,0,002188,20071122,深市中小板A股
654,0,002189,20071203,深市中小板A股
655,0,002190,20071203,深市中小板A股
656,0,002191,20071205,深市中小板A股
657,0,002192,20071205,深市中小板A股
658,0,002193,20071207,深市中小板A股
